"ID","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity"
113,0.143,-5.721,0.606,NA,4,0.435,0.758,116.043,0.000289,0.027,5,0.11,0,49
114,0.162,-4.296,NA,152000,4,0.832,0.63,149.989,0.13,0.395,NA,NA,1,90
115,NA,-12.751,0.684,202500,4,NA,NA,119.992,NA,0.0331,6,0,1,54
116,NA,-9.594,0.62,201683,4,NA,0.374,NA,NA,0.026,1,NA,1,60
117,0.282,-7.064,0.585,NA,4,0.654,0.7,103.78,0.534,NA,NA,1.03e-05,0,35
118,0.308,NA,0.761,215917,NA,0.786,0.701,99.982,NA,0.0559,NA,0.00398,0,60
119,0.424,-7.716,0.782,146484,4,0.642,0.591,NA,0.0275,0.039,9,0.000813,0,23
120,0.155,-4.987,NA,204013,4,0.33,0.714,175.924,NA,0.129,7,0,NA,79
121,NA,-6.546,NA,358426,4,0.524,NA,NA,0.0415,0.0442,9,NA,1,32
122,0.0965,-7.979,NA,225199,4,0.543,0.615,98.056,NA,NA,NA,0,0,91
123,0.0878,-6.924,0.749,234373,4,0.798,0.637,99.951,NA,0.0764,7,0,1,68
124,0.181,-11.169,NA,NA,4,0.518,NA,136.543,0.169,0.0389,NA,NA,1,69
125,0.124,NA,0.805,278655,NA,0.173,0.385,NA,0.284,0.239,NA,2.33e-06,1,57
126,0.0912,-7.906,0.575,199226,4,NA,NA,NA,0.0558,0.0439,NA,NA,NA,92
127,0.0993,-8.591,NA,210666,4,NA,0.439,167.908,NA,0.115,10,1.93e-05,1,28
128,NA,-9.428,NA,266997,4,0.489,0.381,NA,0.768,0.0321,10,NA,1,63
129,0.122,-9.275,0.669,180005,NA,0.176,NA,120.045,NA,0.0549,2,0.00139,NA,66
130,NA,-4.084,0.507,247504,4,0.336,NA,128.015,0.00731,0.141,NA,0,NA,34
131,0.301,NA,0.651,NA,4,0.287,0.261,104.116,NA,0.0266,1,0,NA,40
132,0.0736,-4.068,0.638,188138,NA,0.305,0.807,NA,0.173,0.066,9,0,1,8
133,0.59,-7.093,0.504,230333,4,NA,0.801,NA,0.000527,0.0574,11,0.041,NA,28
134,0.0971,NA,0.481,NA,NA,NA,0.922,NA,0.0238,0.064,3,0.00185,NA,57
135,0.0748,-10.19,0.64,NA,4,0.288,0.667,122.994,0.000211,NA,11,0.899,0,58
136,0.353,-7.811,0.6,179640,4,NA,0.734,NA,0.0116,0.163,NA,NA,1,46
137,NA,-2.451,0.729,NA,NA,NA,0.771,125.011,0.00761,NA,4,0,1,69
138,0.338,-3.883,0.408,272665,4,0.291,0.953,177.94,0.00532,0.226,7,0,1,1
139,0.331,-5.77,0.666,203480,NA,0.734,0.876,NA,0.0647,NA,NA,0,NA,9
140,0.0707,-5.48,0.59,178131,NA,0.4,0.678,126.061,0.0259,NA,NA,2.2e-05,NA,71
141,0.57,-4.408,0.714,135920,4,NA,0.566,113.074,0.142,0.056,NA,1.25e-06,1,74
142,0.635,-5.78,NA,184950,4,0.372,0.727,NA,NA,0.0442,1,0,NA,51
143,0.0568,-8.329,NA,182224,4,NA,NA,91.998,0.149,NA,10,NA,0,53
144,NA,-9.674,0.698,160000,4,0.824,0.661,131.808,0.636,0.0416,NA,0,1,58
145,NA,-10.49,0.605,250001,NA,NA,0.335,141.839,0.704,NA,NA,NA,NA,76
146,0.141,-9.096,0.791,376600,4,0.901,NA,NA,NA,NA,2,NA,1,37
147,NA,-9.539,0.845,267152,4,0.694,NA,NA,0.0447,0.0567,NA,0.343,1,54
148,NA,-4.152,NA,NA,4,NA,0.85,150.092,0.00141,0.0488,2,0,1,1
149,0.138,-4.909,0.657,210221,4,0.311,NA,121.983,NA,0.155,0,0,1,59
150,NA,-6.237,0.438,240800,4,0.564,NA,NA,NA,0.0624,NA,NA,1,78
151,NA,-8.332,NA,283297,3,0.856,0.519,80.241,NA,0.103,NA,2.57e-05,NA,8
152,NA,-9.343,0.554,217633,NA,0.281,NA,100.017,0.0632,0.0439,NA,1.43e-05,1,73
153,0.101,-9.381,NA,246000,4,0.16,0.233,129.759,NA,0.0318,0,1.4e-06,NA,63
154,NA,NA,NA,NA,4,0.534,0.373,98.035,0.259,0.0558,NA,0,1,72
155,0.364,-3.179,NA,NA,4,NA,0.915,147.233,NA,0.0992,NA,NA,1,46
156,0.11,-7.113,0.493,195676,4,NA,0.445,81.581,NA,0.0364,7,NA,1,47
157,0.0819,-3.585,NA,207982,NA,0.352,0.923,122.998,0.00113,0.0475,9,8.35e-05,0,37
158,0.122,-6.702,0.845,200265,4,0.721,0.668,NA,NA,0.0447,1,NA,NA,78
159,0.125,-7.702,0.805,NA,4,0.545,0.496,126.104,NA,0.0595,NA,0,1,50
160,NA,NA,NA,199426,4,0.327,0.211,NA,0.911,0.0466,0,0.0355,1,65
161,0.138,-8.865,0.586,225611,4,0.556,0.603,NA,0.0155,0.0402,4,4.19e-05,0,51
162,0.128,-6.784,0.429,NA,4,NA,0.564,NA,0.0193,0.0268,11,0.000828,NA,72
163,0.0992,-4.566,NA,215151,NA,0.674,NA,130.04,0.266,0.283,11,0,0,83
164,0.33,-4.231,0.736,226226,4,0.442,0.823,124.954,NA,NA,NA,0.000914,1,54
165,0.109,-6.127,0.331,205160,3,NA,0.592,NA,0.0824,0.0371,1,0,1,71
166,NA,NA,0.651,NA,4,0.425,0.711,125.089,0.111,0.0378,3,NA,0,60
167,0.0545,NA,0.923,NA,4,0.849,0.498,139.032,NA,NA,NA,NA,0,46
168,0.0856,NA,NA,263826,4,NA,NA,120.002,NA,0.0402,NA,6.14e-06,1,76
169,NA,NA,0.647,NA,NA,0.942,0.8,NA,NA,NA,7,0,NA,62
170,0.111,-5.531,0.639,178456,4,0.318,NA,NA,0.282,0.0277,4,1.45e-06,NA,58
171,0.111,-7.055,0.621,NA,NA,0.517,NA,NA,NA,0.542,10,NA,0,17
172,NA,-16.254,NA,195906,4,NA,0.309,NA,0.781,0.0384,NA,0.00222,0,57
173,0.111,-14.31,0.573,NA,NA,0.256,0.304,102.686,0.332,NA,NA,NA,1,1
174,NA,-4.141,0.67,130293,NA,0.285,0.724,NA,0.577,0.361,11,0,1,69
175,0.0714,-7.619,0.667,222641,4,0.0758,0.789,NA,0.0322,0.0362,1,0.784,NA,57
176,0.115,NA,NA,202346,3,0.242,0.714,94.082,0.395,0.0328,7,0,1,65
177,0.129,NA,0.685,NA,4,0.214,0.316,NA,0.303,0.0438,5,0.000119,NA,49
178,NA,NA,0.608,247480,4,0.835,0.727,127.172,NA,0.0709,3,3.86e-06,NA,40
179,0.0991,-6.273,0.61,241607,4,0.42,0.785,100.736,0.188,NA,9,NA,NA,61
180,0.308,-7.734,0.802,NA,4,0.621,0.564,NA,0.00295,0.111,11,0.536,NA,0
181,0.09,NA,0.589,224287,4,0.0608,0.321,NA,NA,0.0355,1,NA,NA,48
182,NA,NA,0.967,NA,4,0.964,0.583,NA,NA,NA,7,0,NA,77
183,0.218,-4.499,0.822,241933,4,0.709,0.753,118.982,0.0337,0.0332,NA,1.76e-05,NA,68
184,NA,-4.568,0.86,NA,NA,0.321,0.66,93.967,NA,0.208,1,0.00471,1,58
185,NA,NA,0.694,248519,4,0.359,NA,NA,NA,NA,2,0,NA,55
186,0.0967,-11.923,0.584,188093,4,0.657,0.525,102.174,0.877,0.0686,3,2.65e-06,1,15
187,0.184,-6.061,NA,281560,4,0.591,0.445,78.998,0.474,NA,2,0,1,86
188,0.12,-6.71,0.724,210986,NA,0.0608,0.576,NA,0.0116,0.0483,10,1.33e-05,0,47
189,0.0734,-7.762,NA,NA,4,0.592,0.557,NA,0.0357,0.0738,NA,3.93e-05,1,64
190,0.0695,-11.889,NA,279973,4,0.096,NA,131.717,0.000416,0.152,1,NA,NA,51
191,0.091,-9.731,0.699,NA,4,0.484,0.583,109.001,NA,NA,6,NA,NA,68
192,0.128,NA,0.539,301706,4,0.627,0.909,115.977,0.00011,0.0342,8,NA,1,59
193,NA,-4.666,NA,204150,NA,NA,NA,152.914,0.0142,0.169,NA,0.0107,1,81
194,NA,-8.473,NA,NA,4,0.71,NA,192.147,NA,NA,4,NA,1,59
195,0.208,-4.331,NA,279346,NA,NA,0.755,NA,0.323,0.0422,NA,NA,0,66
196,0.121,-7.124,0.456,NA,4,0.282,0.893,NA,0.00119,0.0412,7,9.81e-05,1,3
197,NA,NA,0.963,NA,4,0.503,0.677,102.482,NA,0.114,0,0.000103,1,61
198,NA,-4.277,NA,304786,NA,0.763,0.761,130.007,0.000333,0.0354,1,NA,1,45
199,0.34,-7.301,0.561,NA,4,0.52,NA,122.571,2.45e-05,0.0309,0,0.872,1,3
200,0.358,-9.829,0.631,185491,NA,0.0611,0.67,144.983,0.0223,NA,3,NA,1,67
201,0.22,NA,NA,185186,4,0.962,0.836,133.521,0.608,0.0541,6,0.00075,0,32
202,0.166,-8.999,0.799,NA,4,0.534,0.373,NA,0.259,0.0558,7,0,1,72
203,0.0705,-7.108,NA,230408,NA,0.864,NA,75.422,NA,NA,10,0.000174,0,79
204,0.243,-11.291,0.699,291178,4,0.813,0.698,107.15,0.315,0.0345,NA,NA,NA,3
205,0.269,-6.876,NA,250285,4,NA,0.804,140.078,NA,NA,5,0.651,NA,22
206,0.356,-9.163,0.445,186463,4,0.159,0.357,147.062,0.153,NA,NA,NA,1,72
207,0.346,NA,NA,159462,4,0.213,NA,127.858,0.0757,0.0778,0,0.000149,0,63
208,0.099,-6.35,0.818,NA,4,0.174,0.54,97.064,0.0143,0.0544,6,NA,0,94
209,0.133,-4.78,NA,262450,4,0.55,0.914,175.152,0.0464,NA,1,NA,NA,46
210,0.203,-5.931,0.607,238160,4,0.567,0.629,NA,0.405,NA,11,0,1,72
211,0.106,-2.416,0.604,200624,NA,0.225,0.796,NA,0.0126,0.0597,1,NA,NA,58
212,NA,-5.931,0.902,220213,NA,NA,0.522,NA,0.206,0.0501,9,7.96e-06,0,42
213,0.324,-3.989,0.722,200170,4,0.79,0.88,NA,0.21,0.24,NA,NA,NA,64
214,0.0454,NA,0.716,189334,NA,0.768,0.869,113.027,0.0294,0.0694,8,0,1,38
215,0.417,-8.444,0.955,158769,NA,0.904,0.492,130.062,0.0987,NA,8,0,1,0
216,0.0868,NA,0.849,207430,4,0.5,NA,NA,NA,0.363,NA,0,NA,0
217,0.257,-5.244,NA,NA,4,NA,0.787,122.058,0.112,0.102,8,0,1,70
218,0.0711,-6.916,0.684,NA,4,0.914,NA,119.993,0.0133,NA,4,NA,0,2
219,NA,-14.244,0.763,NA,4,0.715,0.364,137.132,0.556,0.0559,NA,2.02e-05,1,53
220,0.0575,-13.598,0.346,299000,4,0.439,0.572,NA,0.487,0.118,9,0,NA,42
221,NA,-2.744,0.521,225760,4,0.707,0.921,NA,NA,0.0382,NA,0.0207,1,14
222,0.105,-11.036,0.655,NA,4,0.436,NA,150.407,0.919,0.0467,5,0,1,49
223,0.0734,-15.46,NA,155266,4,0.937,0.49,NA,0.255,0.0357,7,NA,1,53
224,NA,-6.074,0.679,188026,4,0.575,NA,99.983,0.266,0.0493,NA,NA,1,63
225,0.068,-19.16,NA,163533,4,0.0735,NA,104.238,0.904,NA,5,0.135,1,47
226,0.0659,NA,0.693,257826,3,0.526,0.624,113.999,NA,NA,11,NA,0,44
227,0.101,NA,0.788,151990,4,0.881,0.469,120.013,0.74,0.0347,NA,NA,1,43
228,0.102,-9.484,0.563,273437,4,0.369,0.31,72.988,NA,0.0343,2,NA,NA,62
229,0.295,-11.155,0.335,265108,4,NA,0.314,122.446,0.535,0.0411,8,0.00517,1,70
230,0.23,-6.211,0.813,NA,4,0.9,0.869,NA,0.365,0.133,7,0,1,45
231,0.132,NA,0.641,208400,4,0.723,0.914,NA,0.0799,0.05,NA,NA,NA,27
232,0.148,-8.131,NA,181913,3,0.213,0.289,104.851,0.645,0.0348,0,0,1,79
233,0.14,-7.242,0.808,NA,4,NA,0.586,124.041,NA,0.169,10,NA,0,72
234,NA,NA,NA,NA,4,NA,0.505,140.018,0.0645,NA,5,NA,1,33
235,NA,NA,NA,217652,NA,0.571,0.626,109.989,NA,NA,NA,1.31e-05,1,74
236,0.709,-5.182,0.575,NA,4,0.608,0.886,NA,0.0647,0.034,5,0.000187,1,68
237,0.0593,-9.705,0.231,NA,NA,NA,0.465,80.027,0.482,0.0373,6,0.000877,NA,51
238,0.327,NA,0.638,192333,NA,NA,0.937,100.03,0.0942,0.0444,0,NA,1,51
239,NA,NA,0.44,109882,4,0.489,0.138,77.377,0.712,NA,1,NA,1,43
240,0.395,NA,NA,NA,4,0.954,0.797,98.022,0.0965,0.0554,10,0.0256,0,38
241,0.14,-5.416,0.593,NA,NA,0.428,0.697,NA,0.00289,NA,7,0.0257,1,63
242,0.156,-12.379,NA,189750,4,0.112,0.273,123.77,NA,0.0547,NA,0.0269,1,39
243,0.551,NA,0.503,NA,4,0.712,0.926,155.115,0.00314,NA,1,NA,1,1
244,0.112,-4.89,0.611,148459,4,NA,0.602,168.154,NA,0.0437,5,NA,1,83
245,0.299,-2.188,0.743,194184,4,0.884,0.87,NA,0.0595,0.212,1,0,1,88
246,0.202,NA,0.374,319940,NA,0.365,0.888,NA,0.0762,0.12,8,0,1,62
247,NA,NA,NA,195428,4,0.284,NA,NA,0.0164,0.0882,1,NA,1,50
248,0.123,NA,0.348,237226,NA,0.138,0.0834,NA,0.849,0.0299,5,6.12e-06,1,37
249,0.252,NA,NA,190933,4,0.783,NA,91.995,0.451,0.0491,5,0,1,57
250,NA,-7.788,NA,250173,4,0.352,0.574,100.021,NA,0.0479,5,0,0,86
251,NA,-6.248,0.833,268400,4,0.839,NA,NA,0.0406,0.356,5,NA,NA,32
252,0.155,-3.928,NA,263293,5,0.31,NA,125.033,0.014,NA,0,0.000231,1,51
253,0.218,-4.366,0.501,NA,NA,NA,0.9,160.096,0.0586,0.0433,11,NA,NA,54
254,0.0578,-5.582,0.47,111967,4,0.515,0.917,121.117,NA,NA,0,8.41e-05,1,48
255,0.119,-7.77,NA,NA,4,0.657,0.586,96.042,0.264,0.406,8,0,1,71
256,0.0718,-5.593,NA,158053,NA,NA,0.501,89.931,0.541,0.0466,NA,0,1,66
257,0.139,NA,NA,204160,4,0.788,0.963,129.992,NA,0.0981,11,NA,NA,75
258,0.335,-6.941,0.88,200234,4,0.718,0.726,161.003,0.127,NA,10,7.35e-05,0,14
259,0.112,NA,NA,NA,4,NA,0.637,119.997,0.15,0.0395,4,0.885,1,47
260,0.112,-8.134,NA,220880,NA,0.413,0.546,140.005,0.59,0.106,8,NA,NA,37
261,NA,-9.113,0.544,NA,3,0.322,NA,199.756,NA,0.0412,7,0,0,30
262,0.0768,-6.05,NA,209110,4,NA,0.672,160.968,NA,NA,9,NA,0,72
263,NA,-12.005,0.58,349693,4,0.781,0.622,169.442,0.0192,0.0352,5,NA,1,63
264,0.0859,-23.435,NA,216373,4,0.14,0.0758,NA,0.649,NA,NA,NA,1,40
265,NA,-6.519,0.697,208485,4,0.331,0.521,91.998,0.243,0.031,5,0,1,75
266,0.116,-10.882,0.807,298195,4,0.614,0.443,97.994,NA,0.1,11,0.114,0,21
267,0.0838,-5.039,0.594,197520,4,0.673,NA,97.112,NA,0.266,8,0.00104,1,16
268,NA,-4.085,0.586,200867,4,0.495,0.663,NA,0.202,NA,6,0,0,34
269,0.102,NA,NA,218295,4,0.314,0.839,98.932,NA,0.0644,6,NA,NA,84
270,NA,-4.126,0.766,NA,NA,0.881,0.822,165.842,NA,0.16,1,NA,0,91
271,0.1,-18.376,0.277,NA,NA,0.231,NA,NA,NA,0.032,NA,0.709,1,52
272,0.271,-11.446,NA,NA,NA,0.381,0.573,NA,0.36,0.42,NA,NA,0,34
273,0.104,-6.41,0.956,198087,4,NA,0.544,104.011,0.00294,0.0822,1,0,NA,72
274,0.128,-7.539,0.429,NA,4,0.16,0.363,NA,0.338,NA,0,0.000343,1,51
275,0.0957,-18.354,0.607,290733,3,0.661,0.378,90.338,NA,0.0363,4,NA,1,17
276,0.11,-12.389,0.759,NA,4,NA,0.212,95.964,0.7,NA,NA,0,0,64
277,0.0471,-3.313,0.641,183173,4,NA,0.955,150.032,NA,0.128,0,NA,1,20
278,0.0949,-10.315,NA,NA,NA,0.743,0.635,101.042,NA,0.0404,0,NA,NA,6
279,0.262,-4.127,0.509,209866,NA,0.376,0.752,125.87,0.0334,NA,NA,NA,1,56
280,0.235,-4.464,0.735,NA,NA,0.472,0.621,144.078,0.114,0.0576,NA,NA,NA,43
